Stage,Profession,Detailed Profession,Char Name,Skill Order,Rarity,Attack,Attack Interval,Attack Speed Modifier,SP Type,SP Cost,Init SP,Skill Duration,Trait Dict,Trait Desc,Talent Dict,Talent Desc,Skill Dict,Skill Desc
1507,Guard,Single Guard 1,玫兰莎,1,3,763,1.5,0,Auto,40,0,20.0,{},[],{'atk': 0.08},['攻击力+8%'],{'atk': 0.5},攻击力+50%
1507,Guard,Single Guard 2,缠丸,1,4,683,1.5,0,Auto,24,7,0.0,{},[],{},[None],{'heal_scale': 0.4},立即恢复最大生命的40%
1507,Guard,Single Guard 2,缠丸,2,4,683,1.5,0,Auto,29,5,12.0,{},[],{},[None],{'atk': 1.05},防御力降至0，攻击力+105%
1507,Guard,Single Guard 2,芙兰卡,1,5,745,1.5,0,Auto,39,10,35.0,{},[],{'prob': 0.1},['攻击时有10%的几率无视目标的防御'],"{'atk': 0.34, 'attack_speed': 35.0}",攻击力+34%，攻击速度+35
1507,Guard,Single Guard 2,芙兰卡,2,5,745,1.5,0,Auto,20,5,26.0,{},[],{'prob': 0.1},['攻击时有10%的几率无视目标的防御'],"{'atk': 0.7, 'talent_scale': 2.5}",防御力降至0，攻击力+70%，天赋无视防御的概率提高至2倍
1507,Guard,Single Guard 2,炎客,1,5,706,1.5,0,Attack,4,0,0.0,{},[],"{'max_hp': 20.0, 'max_stack_cnt': 30.0}",['每击杀一名敌人后自身的生命上限提高20，最多可以叠加30次'],"{'atk_scale': 1.9, 'hp_ratio': 0.07}",下次攻击的攻击力提高至190%，并回复自身7%的生命
1507,Guard,Single Guard 2,炎客,2,5,706,1.5,0,Attack,48,0,0.0,{},[],"{'max_hp': 20.0, 'max_stack_cnt': 30.0}",['每击杀一名敌人后自身的生命上限提高20，最多可以叠加30次'],"{'atk': 0.5, 'attack_speed': 30.0}",攻击力+50%，攻击速度+30\n持续时间无限
1507,Guard,Single Guard 2,断罪者,1,4,713,1.5,0,Auto,5,0,0.0,{},[],"{'cost': -2.0, 'respawn_time': -8.0, 'stun': 10.0}",['部署费用-2，再部署时间-8秒，但部署后晕眩10秒'],"{'atk_scale': 1.7, 'peacok_s_1[crit].prob': 0.05, 'peacok_s_1[crit].atk_scale': 4.0, 'atk_scale_fake': 6.8}",下次攻击的攻击力提升至170%（有5%的概率变为680%）\n可充能3次
1507,Guard,Single Guard 2,断罪者,2,4,713,1.5,0,Auto,17,2,0.0,{},[],"{'cost': -2.0, 'respawn_time': -8.0, 'stun': 10.0}",['部署费用-2，再部署时间-8秒，但部署后晕眩10秒'],"{'prob': 0.5, 'success.atk_scale': 2.6, 'success.silence': 3.0, 'failure.stun': 5.0}",使周围所有敌人立即受到攻击力260%的法术伤害并失去特殊能力3秒\n有50%的几率失败，失败时范围内的所有友方单位全部晕眩{failure.stun}秒
1507,Guard,Single Guard 3,斯卡蒂,1,6,792,1.5,0,Auto,39,10,35.0,{},[],{'atk': 0.07},"['所有【深海猎人】干员的攻击力+7%', None]","{'atk': 0.34, 'attack_speed': 35.0}",攻击力+34%，攻击速度+35
1507,Guard,Single Guard 3,斯卡蒂,2,6,792,1.5,0,Passive,0,0,-1.0,{},[],{'atk': 0.07},"['所有【深海猎人】干员的攻击力+7%', None]","{'atk': 1.2, 'duration': 25.0}",部署后25秒内攻击力+120%
1507,Guard,Support Guard 2,杜宾,1,4,468,1.05,0,Attack,4,0,0.0,{},[],{'atk': 0.06},['所有三星干员的攻击力+6%<@ba.talpu>（+1%）</>'],{'atk_scale': 2.0},下次攻击的攻击力提高至200%
1507,Guard,Support Guard 2,杜宾,2,4,468,1.05,0,Auto,74,34,25.0,{},[],{'atk': 0.06},['所有三星干员的攻击力+6%<@ba.talpu>（+1%）</>'],"{'atk': 0.5, 'talent_scale': 2.7}",攻击力+50%，天赋的效果提升至2.7倍
1507,Guard,Support Guard 2,诗怀雅,1,5,502,1.05,0,Auto,50,20,27.0,{},[],{'atk': 0.06},['在场时周围8格内的近战友方单位攻击力+6%'],"{'talent_scale': 2.0, 'talent_range_flag': 1.0, 'atk': 0.75}",天赋生效范围大幅度扩大，效果提升至2倍
1507,Guard,Support Guard 2,诗怀雅,2,5,502,1.05,0,Attack,50,20,21.0,{},[],{'atk': 0.06},['在场时周围8格内的近战友方单位攻击力+6%'],"{'talent_scale': 2.7, 'atk': 0.5}",攻击力+50%，天赋效果提升至2倍
1507,Guard,Magic Guard 2,慕斯,1,4,556,1.25,0,Attack,5,0,0.0,{},[],{'prob': 0.13},['攻击时有13%<@ba.talpu>（+3%）</>的几率连续攻击两次'],"{'atk': 0.6, 'frncat_s_1[debuff].atk': -0.25, 'frncat_s_1[debuff].duration': 5.0}",下次攻击时攻击力+60%，5秒内使击中目标攻击力-25%
1507,Guard,Magic Guard 2,慕斯,2,4,556,1.25,0,Auto,80,30,40.0,{},[],{'prob': 0.13},['攻击时有13%<@ba.talpu>（+3%）</>的几率连续攻击两次'],"{'atk': 0.45, 'def': 0.45}",攻击力和防御力各+45%
1507,Guard,Magic Guard 2,星极,1,5,528,1.25,0,Auto,34,6,30.0,{},[],"{'max_stack_cnt': 5.0, 'interval': 20.0, 'attack_speed': 3.0}",['每在场上停留20秒，攻击速度+3，最多可以叠加5次'],"{'atk': 0.4, 'def': 0.6}",攻击力+40%，防御力+60%
1507,Guard,Magic Guard 2,星极,2,5,528,1.25,0,Auto,24,6,12.0,{},[],"{'max_stack_cnt': 5.0, 'interval': 20.0, 'attack_speed': 3.0}",['每在场上停留20秒，攻击速度+3，最多可以叠加5次'],"{'atk': 0.6, 'def': 0.6, 'block_cnt': 1.0}",攻击力+60%，防御力+60%，阻挡数+1，同时攻击阻挡的所有敌人
1507,Guard,Magic Guard 2,铸铁,1,5,468,1.25,0,Auto,24,9,0.0,{},[],{},[None],{'heal_scale': 0.5},立即恢复最大生命的50%
1507,Guard,Magic Guard 2,铸铁,2,5,468,1.25,0,Auto,34,10,27.0,{},[],{},[None],"{'atk': 0.8, 'hp_recovery_per_sec_by_max_hp_ratio': 0.07}",攻击距离缩短，攻击力+80%，每秒恢复最大生命的7%
1507,Guard,Ranged Guard 1,月见夜,1,3,569,1.3,0,Auto,70,30,40.0,{'atk_scale': 0.8},[None],"{'prob': 0.2, 'atk_scale': 1.6}",['攻击时，20%几率当次攻击的攻击力提升至160%<@ba.talpu>（+10%）</>'],{'atk': 0.35},攻击力+35%，普通攻击的伤害类型变为法术
1507,Guard,Ranged Guard 2,霜叶,1,4,511,1.3,8.0,Auto,4,0,-1.0,{'atk_scale': 0.8},[None],{},[None],"{'move_speed': -0.35, 'duration': 2.5, 'atk_scale': 1.35}",下次攻击造成攻击力135%的物理伤害，令命中目标在2秒内移动速度-35%
